RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,date,dropoff_date,temperature_2m,relative_humidity_2m,rain,snowfall,snow_depth,pressure_msl,wind_speed_100m,wind_direction_100m
1.0,75,236,1.0,1.2,7.0,2.75,0.5,2.1,0.0,0.3,12.65,2.75,2021-07-02 15:00:00+00:00,2021-07-02 15:07:39,34.8908,93.06577,0.2,0.0,0.0,1015.7,6.830519,71.564964
1.0,74,247,1.0,2.09,8.5,0.0,0.5,2.79,0.0,0.3,12.09,0.0,2021-07-03 12:00:00+00:00,2021-07-03 12:07:11,45.8708,57.156956,0.1,0.0,0.0,1012.3,7.24486,296.56497
1.0,95,121,2.0,2.53,11.0,0.0,0.5,1.0,0.0,0.3,12.8,0.0,2021-07-06 08:00:00+00:00,2021-07-06 08:10:06,48.7508,55.337654,0.0,0.0,0.0,1013.7,11.525623,268.2101
1.0,74,237,1.0,3.31,16.0,0.0,0.5,0.0,0.0,0.3,19.55,2.75,2021-07-08 13:00:00+00:00,2021-07-08 13:21:52,51.2708,50.20899,0.0,0.0,0.0,1017.4,8.217153,298.8107
1.0,213,197,1.0,15.92,52.0,0.5,0.5,0.0,6.55,0.3,59.85,0.0,2021-07-13 06:00:00+00:00,2021-07-13 06:44:33,41.2808,59.273697,0.5,0.0,0.0,1013.1,10.495713,239.0363
1.0,74,75,1.0,1.28,9.0,1.0,0.5,0.0,0.0,0.3,10.8,0.0,2021-07-14 00:00:00+00:00,2021-07-14 19:19:41,26.6108,98.15678,0.0,0.0,0.0,1016.1,7.2,180.0
1.0,95,134,1.0,1.05,6.0,0.0,0.5,0.0,0.0,0.3,6.8,0.0,2021-07-18 14:00:00+00:00,2021-07-18 14:05:46,37.1408,95.14839,0.0,0.0,0.0,1017.9,2.6208394,164.05453
1.0,74,74,1.0,0.63,5.0,0.5,0.5,0.0,0.0,0.3,6.3,0.0,2021-07-19 00:00:00+00:00,2021-07-19 00:04:19,30.7508,96.765305,0.0,0.0,0.0,1015.0,3.0758414,159.44388
1.0,75,236,6.0,1.75,8.5,0.0,0.5,0.0,0.0,0.3,12.05,2.75,2021-07-19 10:00:00+00:00,2021-07-19 10:08:58,45.7808,80.17783,0.0,0.0,0.0,1011.1,11.159999,270.0
1.0,43,161,1.0,2.97,15.0,0.0,0.5,2.0,0.0,0.3,20.55,2.75,2021-07-19 13:00:00+00:00,2021-07-19 13:20:29,42.720802,68.787605,0.0,0.0,0.0,1011.4,8.089993,290.85452
1.0,74,75,1.0,1.24,7.0,0.0,0.5,0.0,0.0,0.3,7.8,0.0,2021-07-21 12:00:00+00:00,2021-07-21 12:08:45,39.2108,83.15824,0.5,0.0,0.0,1012.1,5.8048253,240.2552
1.0,236,151,1.0,1.03,6.5,1.0,0.5,1.66,0.0,0.3,9.96,0.0,2021-07-23 18:00:00+00:00,2021-07-23 18:05:38,30.7508,74.89386,0.0,0.0,0.0,1013.5,3.4152596,108.43504
1.0,66,25,1.0,1.73,8.5,0.5,0.5,2.0,0.0,0.3,11.8,0.0,2021-07-23 20:00:00+00:00,2021-07-23 20:09:17,29.4008,75.32693,0.0,0.0,0.0,1013.2,5.8603754,100.619606
1.0,75,74,2.0,1.37,7.5,1.0,0.5,1.86,0.0,0.3,11.16,0.0,2021-07-29 18:00:00+00:00,2021-07-29 18:08:11,40.290802,81.17758,0.0,0.0,0.0,1013.2,5.00128,239.74365
,205,140,,15.93,54.53,2.75,0.0,0.0,0.0,0.3,57.58,,2021-07-07 06:00:00+00:00,2021-07-07 06:54:00,50.3708,56.173477,0.0,0.0,0.0,1015.5,9.793059,306.02747
,89,65,,4.68,36.45,2.75,0.0,0.0,0.0,0.3,39.5,,2021-07-07 07:00:00+00:00,2021-07-07 07:25:00,50.2808,58.823105,0.1,0.0,0.0,1015.3,11.592894,306.15826
,22,137,,17.57,44.41,2.75,0.0,0.0,6.55,0.3,54.01,,2021-07-13 08:00:00+00:00,2021-07-13 08:54:00,42.1808,55.996807,0.3,0.0,0.0,1012.3,15.39184,259.21576
,131,215,,3.12,22.45,2.75,0.0,0.0,0.0,0.3,25.5,,2021-07-08 19:00:00+00:00,2021-07-08 19:20:00,32.1908,82.05117,0.0,0.0,0.0,1018.4,1.609969,116.56499
,53,228,,18.31,57.16,0.0,0.0,5.75,0.0,0.3,63.21,,2021-07-04 17:00:00+00:00,2021-07-04 17:43:00,33.450798,73.7755,0.0,0.0,0.0,1014.6,5.1165614,129.28938
,126,235,,4.65,20.53,2.75,0.0,0.0,0.0,0.3,23.58,,2021-07-16 18:00:00+00:00,2021-07-16 18:34:00,31.650799,92.96611,0.0,0.0,0.0,1022.6,7.24486,153.43501
,121,72,,9.57,46.88,2.75,0.0,0.0,0.0,0.3,49.93,,2021-07-16 18:00:00+00:00,2021-07-16 18:59:00,31.650799,92.96611,0.0,0.0,0.0,1022.6,7.24486,153.43501
,102,179,,11.76,26.45,2.75,0.0,0.0,0.0,0.3,29.5,,2021-07-13 08:00:00+00:00,2021-07-13 08:36:00,42.1808,55.996807,0.3,0.0,0.0,1012.3,15.39184,259.21576
,70,130,,5.54,39.1,1.35,0.0,0.0,0.0,0.3,40.75,,2021-07-13 08:00:00+00:00,2021-07-13 08:15:00,42.1808,55.996807,0.3,0.0,0.0,1012.3,15.39184,259.21576
